date,time,local_team,away_team,event_id,custom_id,h2h_all_matches,h2h_all_local_win_pct,h2h_all_draw_pct,h2h_all_away_win_pct,h2h_all_local_goals_avg,h2h_all_away_goals_avg,h2h_all_total_goals_avg,h2h_all_btts_pct,h2h_all_over25_pct,h2h_all_local_points_avg,h2h_all_away_points_avg,h2h_last10_matches,h2h_last10_local_win_pct,h2h_last10_draw_pct,h2h_last10_away_win_pct,h2h_last10_local_goals_avg,h2h_last10_away_goals_avg,h2h_last10_total_goals_avg,h2h_last10_btts_pct,h2h_last10_over25_pct,h2h_last10_local_points_avg,h2h_last10_away_points_avg,h2h_last5_matches,h2h_last5_local_win_pct,h2h_last5_draw_pct,h2h_last5_away_win_pct,h2h_last5_local_goals_avg,h2h_last5_away_goals_avg,h2h_last5_total_goals_avg,h2h_last5_btts_pct,h2h_last5_over25_pct,h2h_last5_local_points_avg,h2h_last5_away_points_avg,season_id,season_name
2025-08-23,13:30,Sassuolo,SSC Napoli,13981431,oebsTfb,22,0.09090909090909091,0.3181818181818182,0.5909090909090909,0.9090909090909091,2.227272727272727,3.1363636363636362,0.5909090909090909,0.45454545454545453,0.5909090909090909,2.090909090909091,10,0.1,0.2,0.7,1.0,2.9,3.9,0.5,0.6,0.5,2.3,5,0.0,0.0,1.0,0.4,4.0,4.4,0.4,0.6,0.0,3.0,76457,Serie A 25/26
2025-08-23,13:30,Genoa,Lecce,13981422,Odbsneb,18,0.5555555555555556,0.3333333333333333,0.1111111111111111,1.6666666666666667,0.7777777777777778,2.4444444444444446,0.5,0.5555555555555556,2.0,0.6666666666666666,10,0.5,0.4,0.1,1.7,1.1,2.8,0.7,0.7,1.9,0.7,5,0.6,0.2,0.2,1.2,0.8,2.0,0.6,0.6,2.0,0.8,76457,Serie A 25/26
2025-08-23,15:45,Milan,Cremonese,13981439,Rdbslfb,14,0.5,0.35714285714285715,0.14285714285714285,1.5714285714285714,0.5,2.0714285714285716,0.35714285714285715,0.2857142857142857,1.8571428571428572,0.7857142857142857,10,0.5,0.4,0.1,1.8,0.5,2.3,0.4,0.3,1.9,0.7,5,0.4,0.6,0.0,2.2,0.4,2.6,0.4,0.4,1.8,0.6,76457,Serie A 25/26
2025-08-23,15:45,AS Roma,Bologna,13981428,Kdbsceb,90,0.37777777777777777,0.35555555555555557,0.26666666666666666,1.3666666666666667,1.0444444444444445,2.411111111111111,0.5555555555555556,0.45555555555555555,1.488888888888889,1.1555555555555554,10,0.3,0.3,0.4,1.2,1.2,2.4,0.4,0.4,1.2,1.5,5,0.0,0.4,0.6,1.0,2.0,3.0,0.6,0.6,0.4,2.2,76457,Serie A 25/26
2025-08-24,13:30,Como,Lazio,13981423,Zdbseeb,10,0.2,0.3,0.5,1.3,2.1,3.4,0.8,0.6,0.9,1.8,10,0.2,0.3,0.5,1.3,2.1,3.4,0.8,0.6,0.9,1.8,5,0.2,0.2,0.6,1.0,2.4,3.4,0.8,0.6,0.8,2.0,76457,Serie A 25/26
2025-08-24,13:30,Cagliari,Fiorentina,13981425,Tdbsueb,84,0.25,0.2976190476190476,0.4523809523809524,0.9285714285714286,1.3333333333333333,2.261904761904762,0.47619047619047616,0.44047619047619047,1.0476190476190477,1.6547619047619047,10,0.1,0.3,0.6,0.9,1.6,2.5,0.4,0.5,0.6,2.1,5,0.0,0.2,0.8,0.8,2.0,2.8,0.6,0.6,0.2,2.6,76457,Serie A 25/26
2025-08-24,15:45,Juventus,Parma,13981424,MdbsPdb,54,0.48148148148148145,0.2962962962962963,0.2222222222222222,1.7407407407407407,0.9629629629629629,2.7037037037037037,0.48148148148148145,0.5370370370370371,1.7407407407407407,0.9629629629629629,10,0.6,0.2,0.2,2.4,1.0,3.4,0.5,0.7,2.0,0.8,5,0.6,0.2,0.2,2.2,1.0,3.2,0.6,0.8,2.0,0.8,76457,Serie A 25/26
2025-08-24,15:45,Atalanta,Pisa,13981444,LdbsMeb,8,0.375,0.375,0.25,0.875,0.625,1.5,0.375,0.125,1.5,1.125,8,0.375,0.375,0.25,0.875,0.625,1.5,0.375,0.125,1.5,1.125,5,0.6,0.4,0.0,1.0,0.2,1.2,0.2,0.0,2.2,0.4,76457,Serie A 25/26
2025-08-25,13:30,Udinese,Hellas Verona,13981438,Vdbsbeb,40,0.275,0.425,0.3,1.325,1.225,2.55,0.525,0.45,1.25,1.325,10,0.2,0.4,0.4,0.9,1.3,2.2,0.4,0.3,1.0,1.6,5,0.0,0.6,0.4,0.8,1.2,2.0,0.4,0.2,0.6,1.8,76457,Serie A 25/26
2025-08-25,15:45,Inter,Torino,13981421,WdbsXdb,98,0.46938775510204084,0.35714285714285715,0.17346938775510204,1.3061224489795917,0.7653061224489796,2.0714285714285716,0.35714285714285715,0.3469387755102041,1.7653061224489797,0.8775510204081632,10,0.9,0.1,0.0,2.0,0.6,2.6,0.4,0.4,2.8,0.1,5,1.0,0.0,0.0,2.2,0.4,2.6,0.2,0.4,3.0,0.0,76457,Serie A 25/26
2025-08-29,13:30,Cremonese,Sassuolo,13981443,lfbsTfb,2,0.0,0.5,0.5,1.0,1.5,2.5,0.5,0.5,0.5,2.0,2,0.0,0.5,0.5,1.0,1.5,2.5,0.5,0.5,0.5,2.0,2,0.0,0.5,0.5,1.0,1.5,2.5,0.5,0.5,0.5,2.0,76457,Serie A 25/26
2025-08-29,15:45,Lecce,Milan,13981447,OdbsRdb,38,0.05263157894736842,0.34210526315789475,0.6052631578947368,0.868421052631579,2.0526315789473686,2.9210526315789473,0.5,0.5526315789473685,0.5,2.1578947368421053,10,0.0,0.3,0.7,1.2,2.7,3.9,0.6,0.8,0.3,2.4,5,0.0,0.2,0.8,0.8,2.6,3.4,0.4,0.8,0.2,2.6,76457,Serie A 25/26
2025-08-30,13:30,Parma,Atalanta,13981426,LdbsPdb,44,0.3409090909090909,0.29545454545454547,0.36363636363636365,1.1590909090909092,1.3863636363636365,2.5454545454545454,0.5,0.5,1.3181818181818181,1.3863636363636365,10,0.1,0.1,0.8,0.8,2.7,3.5,0.5,0.8,0.4,2.5,5,0.2,0.0,0.8,1.4,3.0,4.4,0.8,1.0,0.6,2.4,76457,Serie A 25/26
2025-08-30,13:30,Bologna,Como,13981433,Kdbseeb,12,0.25,0.3333333333333333,0.4166666666666667,1.0,1.3333333333333333,2.3333333333333335,0.5,0.4166666666666667,1.0833333333333333,1.5833333333333333,10,0.3,0.4,0.3,1.1,1.3,2.4,0.5,0.4,1.3,1.3,5,0.4,0.4,0.2,1.2,1.4,2.6,0.4,0.4,1.6,1.0,76457,Serie A 25/26
2025-08-30,15:45,SSC Napoli,Cagliari,13981436,oebsueb,76,0.42105263157894735,0.39473684210526316,0.18421052631578946,1.355263157894737,0.7236842105263158,2.0789473684210527,0.39473684210526316,0.32894736842105265,1.6578947368421053,0.9473684210526315,10,0.6,0.3,0.1,1.8,0.6,2.4,0.5,0.3,2.1,0.6,5,0.6,0.4,0.0,2.0,0.6,2.6,0.6,0.4,2.2,0.4,76457,Serie A 25/26
