date,time,local_team,away_team,event_id,custom_id,h2h_all_matches,h2h_all_local_win_pct,h2h_all_draw_pct,h2h_all_away_win_pct,h2h_all_local_goals_avg,h2h_all_away_goals_avg,h2h_all_total_goals_avg,h2h_all_btts_pct,h2h_all_over25_pct,h2h_all_local_points_avg,h2h_all_away_points_avg,h2h_last10_matches,h2h_last10_local_win_pct,h2h_last10_draw_pct,h2h_last10_away_win_pct,h2h_last10_local_goals_avg,h2h_last10_away_goals_avg,h2h_last10_total_goals_avg,h2h_last10_btts_pct,h2h_last10_over25_pct,h2h_last10_local_points_avg,h2h_last10_away_points_avg,h2h_last5_matches,h2h_last5_local_win_pct,h2h_last5_draw_pct,h2h_last5_away_win_pct,h2h_last5_local_goals_avg,h2h_last5_away_goals_avg,h2h_last5_total_goals_avg,h2h_last5_btts_pct,h2h_last5_over25_pct,h2h_last5_local_points_avg,h2h_last5_away_points_avg,season_id,season_name
2025-08-15,15:45,Stade Rennais,Olympique de Marseille,14061188,QHsiI,78,0.2692307692307692,0.23076923076923078,0.5,1.1538461538461537,1.6923076923076923,2.8461538461538463,0.5769230769230769,0.5,1.0384615384615385,1.7307692307692308,10,0.3,0.1,0.6,1.0,1.4,2.4,0.4,0.3,1.0,1.9,5,0.2,0.0,0.8,1.0,1.8,2.8,0.4,0.4,0.6,2.4,77356,Ligue 1 25/26
2025-08-16,12:00,RC Lens,Olympique Lyonnais,14061760,YHsZH,68,0.27941176470588236,0.2647058823529412,0.45588235294117646,1.2205882352941178,1.6470588235294117,2.8676470588235294,0.5147058823529411,0.5588235294117647,1.1029411764705883,1.6323529411764706,10,0.4,0.3,0.3,1.5,1.2,2.7,0.7,0.6,1.5,1.2,5,0.6,0.2,0.2,1.8,1.0,2.8,0.6,0.8,2.0,0.8,77356,Ligue 1 25/26
2025-08-16,14:00,AS Monaco,Le Havre,14061187,dIsmI,32,0.4375,0.375,0.1875,1.5,0.9375,2.4375,0.5625,0.40625,1.6875,0.9375,10,0.5,0.4,0.1,2.1,1.0,3.1,0.7,0.5,1.9,0.7,5,0.2,0.6,0.2,1.0,0.8,1.8,0.6,0.2,1.2,1.2,77356,Ligue 1 25/26
2025-08-16,16:05,Nice,Toulouse,14061183,lIsGI,52,0.40384615384615385,0.34615384615384615,0.25,1.1730769230769231,0.9423076923076923,2.1153846153846154,0.46153846153846156,0.2692307692307692,1.5576923076923077,1.0961538461538463,10,0.3,0.6,0.1,1.2,0.7,1.9,0.6,0.2,1.5,0.9,5,0.2,0.6,0.2,0.8,0.8,1.6,0.6,0.2,1.2,1.2,77356,Ligue 1 25/26
2025-08-17,10:00,Stade Brestois,Lille,14061179,THspJ,37,0.21621621621621623,0.32432432432432434,0.4594594594594595,0.8378378378378378,1.2432432432432432,2.081081081081081,0.4864864864864865,0.35135135135135137,0.972972972972973,1.7027027027027026,10,0.3,0.4,0.3,1.1,1.0,2.1,0.5,0.3,1.3,1.3,5,0.2,0.2,0.6,1.0,1.4,2.4,0.6,0.4,0.8,2.0,77356,Ligue 1 25/26
2025-08-17,12:15,Metz,RC Strasbourg,14061192,bIsjI,66,0.42424242424242425,0.2727272727272727,0.30303030303030304,1.1818181818181819,1.0909090909090908,2.272727272727273,0.45454545454545453,0.4696969696969697,1.5454545454545454,1.1818181818181819,10,0.2,0.3,0.5,1.1,1.5,2.6,0.5,0.6,0.9,1.8,5,0.0,0.0,1.0,0.4,2.0,2.4,0.4,0.6,0.0,3.0,77356,Ligue 1 25/26
2025-08-17,12:15,Auxerre,Lorient,14061182,WHsgI,18,0.4444444444444444,0.4444444444444444,0.1111111111111111,1.7222222222222223,1.0555555555555556,2.7777777777777777,0.6666666666666666,0.5,1.7777777777777777,0.7777777777777778,10,0.4,0.5,0.1,1.3,0.9,2.2,0.6,0.4,1.7,0.8,5,0.4,0.4,0.2,1.2,1.2,2.4,0.8,0.4,1.6,1.0,77356,Ligue 1 25/26
2025-08-17,12:15,Angers,Paris FC,14061180,JIsvwc,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,1.0,1.3333333333333333,2.3333333333333335,0.6666666666666666,0.5,1.1666666666666667,1.1666666666666667,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,1.0,1.3333333333333333,2.3333333333333335,0.6666666666666666,0.5,1.1666666666666667,1.1666666666666667,5,0.0,0.8,0.2,0.8,1.4,2.2,0.6,0.4,0.8,1.4,77356,Ligue 1 25/26
2025-08-17,15:45,Nantes,Paris Saint-Germain,14061185,UHsXH,94,0.2765957446808511,0.2872340425531915,0.43617021276595747,1.0212765957446808,1.351063829787234,2.372340425531915,0.4148936170212766,0.4148936170212766,1.1170212765957446,1.5957446808510638,10,0.2,0.2,0.6,1.1,2.1,3.2,0.7,0.7,0.8,2.0,5,0.0,0.4,0.6,1.0,2.0,3.0,0.8,0.4,0.4,2.2,77356,Ligue 1 25/26
2025-08-22,15:45,Paris Saint-Germain,Angers,14065702,UHsJI,31,0.6774193548387096,0.22580645161290322,0.0967741935483871,2.161290322580645,0.8387096774193549,3.0,0.5483870967741935,0.5483870967741935,2.2580645161290325,0.5161290322580645,10,1.0,0.0,0.0,2.7,0.6,3.3,0.5,0.7,3.0,0.0,5,1.0,0.0,0.0,2.4,0.6,3.0,0.4,0.6,3.0,0.0,77356,Ligue 1 25/26
